id,name,short_name,venue
98,AC Milan,MIL,Stadio Giuseppe Meazza
99,ACF Fiorentina,FIO,Stadio Artemio Franchi
100,AS Roma,ROM,Stadio Olimpico
102,Atalanta BC,ATA,Stadio Atleti Azzurri d'Italia
103,Bologna FC 1909,BOL,Stadio Renato Dall'Ara
104,Cagliari Calcio,CAG,Sardegna Arena
107,Genoa CFC,GEN,Stadio Comunale Luigi Ferraris
108,FC Internazionale Milano,INT,Stadio Giuseppe Meazza
109,Juventus FC,JUV,Allianz Stadium
110,SS Lazio,LAZ,Stadio Olimpico
112,Parma Calcio 1913,PAR,Stadio Ennio Tardini
113,SSC Napoli,NAP,Stadio San Paolo
115,Udinese Calcio,UDI,Dacia Arena
450,Hellas Verona FC,HVE,Stadio Marc'Antonio Bentegodi
457,US Cremonese,CRE,Stadio Giovanni Zin
471,US Sassuolo Calcio,SAS,Mapei Stadium - Città del Tricolore
487,AC Pisa 1909,PIS,Arena Garibaldi - Stadio Romeo Anconetani
586,Torino FC,TOR,Stadio Olimpico di Torino
5890,US Lecce,USL,Stadio Comunale Via Del Mare
7397,Como 1907,COM,Stadio Giuseppe Sinigaglia
